grien	dziwdu	dziwdu_qhanshiev	zyephev	chetxryn_ziosryo_sishiev	chetxryn_ziosryo_xrynmyuk	chetxryn_ziosryo_sieuxryn	diavko_xrynbu	chetxryn_dzankryen_pyunlyi	chetxryn_dzankryen	pyanchet_chetxryn	pyanchet_chetxryn_tyoshiek	pyanchet_xyavxryn	pyanchet_xyavxryn_tyoshiek	pyanchet_kuavxryn	pyanchet_kuavxryn_tyoshiek	pyanchet_dzipxryn	pyanchet_dzipxryn_tyoshiek	qhanziwqhwi_shievlyi	qhanziwqhwi_xrynlyi	qhanziwqhwi_deulyi	giwtha_potyo	qrimvrielan	thovqitmra
0342D-002-044-004	㐭		lím	2	44	4	侵	2	[《切三》]	null		力稔反	《王一》力稔反，《王三》未收。	力稔切				來	寢	上			U+342D
0355F-003-016-009	㕟		khruêi	3	16	9	物	3	[《P3696(1)v》]	null		苦壞反		苦怪切				null	null	null			U+355F
03561-004-028-014	㕡		qhak	4	28	14	鐸	3	[《Дх1372+Дх3703》]	null		null		呵各切				null	null	null			U+3561
03762-002-009-002	㝢		xyó	2	9	2	魚	2	[《切三》]	于矩反		null		王矩切				云	麌	上			U+3762
037B7-001-037-032	㞷		gyaŋ	1	37	32	陽	2	[《切三》]	null		null		巨王切				null	null	null			U+37B7
037B7-001-038-009	㞷		xuaŋ	1	38	9	陽	2	[《切三》]	null		null		null		胡光切		null	null	null			U+37B7
0394F-002-025-002	㥏		thén	2	25	2	文	2	[《切三》]	null		他典反		他典切				null	null	null			U+394F
03951-001-043-002	㥑		qyu	1	43	2	幽	2	[《切三》]	null		null		null		於求切		影	尤	平			U+3951
039C6-003-021-512	㧆		krîn	3	21	512	文	0	[《藤田2018》]	null		null		null		居覲切		null	null	null			U+39C6
039C6-003-023-002	㧆		kiə̂n	3	23	2	文	1	[《TIVK75-100a》]	null		null		居焮切				null	null	null			U+39C6
03B87-003-051-001	㮇		thêm	3	51	1	侵	2	[《P3694r》]	他念反		他念反		他念切				透	㮇	去			U+3B87
03C8B-004-027-013	㲋		thriak	4	27	13	鐸	0	[《藤田2018》]	丑略反		丑略反		丑略切				null	null	null			U+3C8B
03D85-004-004-017	㶅		xrok	4	4	17	覺	2	[《切三》]	null		null		null		轄覺切		null	null	null			U+3D85
03FDF-001-027-002	㿟		kéu	1	27	2	宵	2	[《切三》]	古了反		古了反		古了切				null	null	null			U+3FDF
040D5-004-004-016	䃕		lrok	4	4	16	覺	2	[《切三》]	null		null		吕角切				null	null	null			U+40D5
041DF-001-021-010	䇟		kian	1	21	10	元	2	[《切三》]	null		null		null		居言切		null	null	null			U+41DF
041DF-001-021-109	䇟		gian	1	21	109	元	2	[《切三》]	null		null		null		null		null	null	null	見音義欄。	kian、giânと异義不明。《名義》：“䇟，渠言反，筋本也，腱也。”	U+41DF
041DF-003-024-011	䇟		giân	3	24	11	元	2	[《S5980》]	null		null		null		渠建切		null	null	null			U+41DF
0420E-004-024-001	䈎		jiep	4	24	1	葉	2	[《切三》]	null		与涉反		與涉切				以	葉	入			U+420E
0420E-004-024-014	䈎		thriep	4	24	14	葉	2	[《切三》]	null		丑輒反		丑輒切				null	null	null			U+420E
042CE-003-029-008	䋎		drên	3	29	8	元	0	[《藤田2018》]	null		大莧反		丈莧切				null	null	null			U+42CE
045B5-001-022-002	䖵		kun	1	22	2	文	2	[《切三》]	null		古渾反		古渾切				null	null	null			U+45B5
0470B-002-014-008	䜋		xúi	2	14	8	微	2	[《切三》]	null		null		胡罪切				null	null	null			U+470B
0470B-003-018-012	䜋		xûi	3	18	12	物	0	[《藤田2018》]	null		胡對反		胡對切				null	null	null			U+470B
048B5-001-019-002	䢵		xyun	1	19	2	文	2	[《切三》]	null		王分反		王分切				云	文	平			U+48B5
048BC-001-002-005	䢼		kyoŋ	1	2	5	東	3	[《切二》]	null		null		九容切				null	null	null			U+48BC
04964-004-004-009	䥤		brok	4	4	9	覺	2	[《切三》]	null		null		null		弼角切		null	null	null			U+4964
04C94-001-037-029	䲔		giaŋ	1	37	29	陽	2	[《切三》]	巨良反		巨良反		巨良切				null	null	null			U+4C94
04C94-001-039-025	䲔		grieŋ	1	39	25	陽	2	[《切三》]	null		渠京反		渠京切				null	null	null			U+4C94
04D52-004-005-010	䵒		nrit	4	5	10	質	2	[《切三》]	null		尼質反		尼質切				null	null	null			U+4D52
04E00-004-005-006	一		qit	4	5	6	質	2	[《切三》]	憶質反		於逸反		於悉切				影	質	入			U+4E00
04E01-001-040-006	丁		treŋ	1	40	6	耕	2	[《切三》]	null		null		中莖切				知	耕	平			U+4E01
04E01-001-042-005	丁		teŋ	1	42	5	耕	2	[《切三》]	當經反		當經反		當經切				端	青	平			U+4E01
04E03-004-005-007	七		chit	4	5	7	質	2	[《切三》]	親悉反		親日反		親吉切				清	質	入			U+4E03
04E07-003-024-005	万		myân	3	24	5	元	2	[《S5980》]	無販反		無販反		無販切				微	願	去			U+4E07
04E07-004-030-008	万		mək	4	30	8	職	0	[《藤田2018》]	null		null		莫北切				明	德	入			U+4E07
04E09-001-036-004	三		sam	1	36	4	談	2	[《切三》, 《S11383CA》]	蘇甘反		蘇甘反		蘇甘切				心	談	平			U+4E09
