grien	dziwdu	dziwdu_qhanshiev	syenjyovdziw	krenqhruadziw	nitpun_diavjyovdziw	jiwtheidziw	thovjyov_kyebyam_zioxau	ziwvyan_jiepmra	qhanziwqhwi_bushyu	qhandziwqhwi_bushyuvuai	thongqitmra
0342D	㐭					[]	[]	null	广	13	U+342D
034B8	㒸					[]	[0]	0	null	null	U+34B8
034F9	㓹					[]	[0]	0	null	null	U+34F9
03537	㔷					[]	[0]	0	null	null	U+3537
0355F	㕟					[]	[]	null	null	null	U+355F
03561	㕡					[]	[]	null	null	null	U+3561
03762	㝢					[]	[]	1152.3	宀	3	U+3762
03775	㝵					[䙷]	[0]	0	彳	8	U+3775
037B7	㞷					[]	[]	null	null	null	U+37B7
038C7	㣇					[]	[0]	0	null	null	U+38C7
0394F	㥏					[]	[]	1513.1	null	null	U+394F
03951	㥑					[𢝊]	[]	1523.2	心	11	U+3951
0395C	㥜					[]	[0]	1525.2	null	null	U+395C
039C6	㧆					[]	[]	null	null	null	U+39C6
03B87	㮇					[]	[]	2103.3	木	8	U+3B87
03C8B	㲋					[]	[]	null	null	null	U+3C8B
03D85	㶅					[]	[]	2519.1	null	null	U+3D85
03D94	㶔					[]	[0]	2523.2	null	null	U+3D94
03FDF	㿟					[]	[]	null	null	null	U+3FDF
040D5	䃕					[]	[]	2985.1	null	null	U+40D5
041DF	䇟					[]	[]	null	null	null	U+41DF
0420E	䈎					[]	[]	null	竹	9	U+420E
042CE	䋎					[]	[]	3192.1	null	null	U+42CE
045B5	䖵					[]	[]	null	null	null	U+45B5
0470B	䜋					[]	[]	3843.3	null	null	U+470B
048B5	䢵					[]	[]	4076.1	邑	10	U+48B5
048BC	䢼					[]	[6657]	null	null	null	U+48BC
04964	䥤					[]	[]	null	null	null	U+4964
04BCE	䯎					[]	[0]	0	null	null	U+4BCE
04C94	䲔					[]	[]	4637.1	null	null	U+4C94
04D52	䵒					[]	[]	null	null	null	U+4D52
04E00	一					[]	[1]	1.1	一	0	U+4E00
04E01	丁					[]	[5]	20.2	一	1	U+4E01
04E03	七					[]	[7]	24.2	一	1	U+4E03
04E07	万					[]	[35]	80.3	一	2	U+4E07
04E08	丈					[]	[33]	80.1	一	2	U+4E08
04E09	三					[]	[22]	30.1	一	2	U+4E09
04E0A	上					[]	[36]	68.2	一	2	U+4E0A
04E0B	下					[]	[30]	62.1	一	2	U+4E0B
04E0F	丏					[]	[3511]	81.1	一	3	U+4E0F
04E16	世					[]	[206]	97.3	一	4	U+4E16
04E18	丘					[]	[268]	102.3	一	4	U+4E18
04E26	並		并			[竝]	[531]	104.2	一	7	U+4E26
04E28	丨					[]	[]	105.1	丨	0	U+4E28
04E29	丩					[]	[]	null	丨	1	U+4E29
04E2A	个					[]	[45]	105.2	丨	2	U+4E2A
04E2B	丫					[]	[56]	105.1	丨	2	U+4E2B
04E2D	中					[]	[113]	105.3	丨	3	U+4E2D
04E31	丱					[]	[0]	118.1	丨	4	U+4E31
04E32	串					[]	[736]	118.1	丨	6	U+4E32
04E39	丹					[]	[155]	119.3	丶	3	U+4E39
04E3C	丼					[]	[]	null	丶	4	U+4E3C
04E45	久					[]	[47]	125.3	丿	2	U+4E45
04E4B	之					[]	[58]	119.2	丶	2	U+4E4B
04E56	乖					[]	[1128]	129.3	丿	7	U+4E56
04E58	乘				乗	[椉]	[1941]	130.3	丿	8	U+4E58
04E5D	九					[]	[15]	133.3	乙	1	U+4E5D
04E5E	乞					[]	[42]	148.3	乙	2	U+4E5E
04E85	亅					[]	[]	159.1	亅	0	U+4E85
04E86	了					[]	[17]	159.2	亅	1	U+4E86
04E88	予					[]	[184]	160.3	亅	3	U+4E88
04E89	争					[爭]	[508]	2600.1	亅	5	U+4E89
04E8C	二					[]	[3]	163.1	二	0	U+4E8C
04E91	云					[]	[82]	195.3	二	2	U+4E91
04E94	五					[]	[88]	172.3	二	2	U+4E94
04E95	井					[]	[77]	194.2	二	2	U+4E95
04EA1	亡					[]	[54]	197.1	亠	1	U+4EA1
04EA4	交					[]	[519]	199.3	亠	4	U+4EA4
04EA6	亦					[]	[516]	204.1	亠	4	U+4EA6
04EA8	亨					[]	[3755]	204.3	亠	5	U+4EA8
04EAB	享					[亯]	[1206]	207.2	亠	6	U+4EAB
04EAC	京					[亰]	[1205]	205.1	亠	6	U+4EAC
04EAD	亭					[]	[1620]	210.1	亠	7	U+4EAD
04EAE	亮					[]	[1621]	211.2	亠	7	U+4EAE
