grien	dziw	dziw_qhanshiev	dziwxev	sikrok_xaumra	thovqitmra	pryentyov	tyoshiek
0342D	㐭			[00600]	U+342D		
034B8	㒸			[80232]	U+34B8		
034DD	㓝			[52000]	U+34DD		
034F9	㓹			[72200]	U+34F9		
03537	㔷			[71712]	U+3537		
0355F	㕟			[27240]	U+355F		
03561	㕡			[27640]	U+3561		
0356F	㕯			[40227]	U+356F		
035DB	㗛			[68084]	U+35DB		
035F3	㗳			[68061]	U+35F3		
03762	㝢			[30227]	U+3762		
03775	㝵			[60341]	U+3775		
037B7	㞷			[22104]	U+37B7		
038A1	㢡			[27444]	U+38A1		
038C7	㣇			[27227]	U+38C7		
0394F	㥏			[95081]	U+394F		
03951	㥑			[10332]	U+3951		
0395C	㥜			[96027]	U+395C		
039C6	㧆			[54027]	U+39C6		
039C9	㧉			[58017]	U+39C9		
039D1	㧑			[54027]	U+39D1		
039F1	㧱			[82650]	U+39F1		
03A43	㩃			[53033]	U+3A43		
03ADA	㫚			[27602]	U+3ADA		
03B2A	㬪			[60102]	U+3B2A		
03B87-J	㮇		⿰木⿱夭㣺	[42938]	U+3B87	J	
03B87-T	㮇		⿰木⿱天㣺	[41938]	U+3B87	T	
03BB3	㮳			[48984]	U+3BB3		
03BB5	㮵			[48947]	U+3BB5		
03BCD	㯍			[47942]	U+3BCD		
03BF3	㯳			[48940]	U+3BF3		
03C43	㱃			[87682]	U+3C43		
03C8B	㲋			[27712]	U+3C8B		
03CB2	㲲			[62115, 62114]	U+3CB2		
03D4E	㵎			[37120]	U+3D4E		
03D85	㶅			[37147]	U+3D85		
03D94	㶔			[36184]	U+3D94		
03E6F	㹯			[44290]	U+3E6F		
03F75	㽵			[00114]	U+3F75		
03FDF	㿟			[26602]	U+3FDF		
040D5	䃕			[99602]	U+40D5		
041DF	䇟			[88227]	U+41DF		
0420E	䈎			[88904]	U+420E		
0428B	䊋			[94910]	U+428B		
042AA	䊪			[94927]	U+42AA		
042CE	䋎			[26910]	U+42CE		
04350	䍐			[60401]	U+4350		
043C8	䏈			[12493]	U+43C8		
044D6	䓖			[44427]	U+44D6		
04543	䕃			[44232]	U+4543		
0459D	䖝			[20136]	U+459D		
0459F	䖟			[00136]	U+459F		
045B5	䖵			[55136]	U+45B5		
04607	䘇			[00136]	U+4607		
04677	䙷			[60341]	U+4677		
0470B	䜋			[05686]	U+470B		
04836	䠶			[28284]	U+4836		
048B5	䢵			[17727]	U+48B5		
048BC	䢼			[47827]	U+48BC		
0495D	䥝			[80112]	U+495D		
04964	䥤			[81112]	U+4964		
04A68	䩨			[41532]	U+4A68		
04B03	䬃			[70211]	U+4B03		
04B7E	䭾			[73384]	U+4B7E		
04BAF	䮯			[78340]	U+4BAF		
04BCE	䯎			[78241]	U+4BCE		
04C1F	䰟			[10213, 10513]	U+4C1F		
04C94	䲔			[21316]	U+4C94		
04C9F	䲟			[27120]	U+4C9F		
04CA2	䲢			[79216]	U+4CA2		
04CD8	䳘			[23350]	U+4CD8		
04D14	䴔			[07427]	U+4D14		
04D16	䴖			[57227]	U+4D16		
04D52	䵒			[26900]	U+4D52		
04E00	一			[10000]	U+4E00		
04E01	丁			[10200]	U+4E01		
04E03	七			[40710]	U+4E03		
04E07	万			[10227]	U+4E07		
04E08	丈			[50000]	U+4E08		
04E09	三			[10101]	U+4E09		
04E0A	上			[21100]	U+4E0A		
