grien	dziwdu	dziwdu_qhanshiev	xreishievbu	xreishievbu_qhanshiev	pyunqhrua	xreishievbu_pyuideiqit	shievvuai	shievvuai_pyunqhrua_xryitriw	thovqitmra_xreishievbu	thonvqitmra_dziwdu
0342D-0342D	㐭		㐭			[]	[]		U+342D	U+342D
0342D-051DB	凛		㐭			[禀]	[禾, 冫]		U+342D	U+51DB
0342D-05EEA	廪		㐭			[禀]	[禾, 广]		U+342D	U+5EEA
0342D-061D4	懔		㐭			[禀]	[禾, 心]		U+342D	U+61D4
0342D-07980	禀		㐭			[禀]	[禾]		U+342D	U+7980
0342D-21484	𡒄	⿰土禀	㐭			[禀]	[禾, 土]		U+342D	U+21484
0355F-0355F	㕟		㕟			[]	[]		U+355F	U+355F
0355F-084AF	蒯		㕟			[]	[刀]		U+355F	U+84AF
03561-03561	㕡		㕡			[]	[]		U+3561	U+3561
03561-058D1	壑		㕡			[]	[土]		U+3561	U+58D1
03951-03951	㥑		㥑			[]	[]		U+3951	U+3951
03951-0512A	優		㥑			[憂]	[夊, 人]		U+3951	U+512A
03951-06182	憂		㥑			[憂]	[夊]		U+3951	U+6182
03951-08030	耰		㥑			[憂]	[夊, 耒]		U+3951	U+8030
03FDF-03FDF	㿟		㿟			[]	[]		U+3FDF	U+3FDF
03FDF-0769B	皛		㿟			[]	[白]		U+3FDF	U+769B
041DF-041DF	䇟		䇟			[]	[竹]		U+41DF	U+41DF
041DF-09730	霰		䇟			[]	[竹, 雨]		U+41DF	U+9730
045B5-045B5	䖵		䖵			[]	[]		U+45B5	U+45B5
04E00-04E00	一		一			[]	[]		U+4E00	U+4E00
04E00-05F0C	弌		一			[]	[戌]		U+4E00	U+5F0C
04E01-04E01	丁		丁			[]	[]		U+4E01	U+4E01
04E01-04EAD	亭		丁			[亭]	[京]		U+4E01	U+4EAD
04E01-04EC3	仃		丁			[]	[人]		U+4E01	U+4EC3
04E01-0505C	停		丁			[亭]	[京, 人]		U+4E01	U+505C
04E01-053EE	叮		丁			[]	[口]		U+4E01	U+53EE
04E01-057CE	城		丁			[成]	[戌, 土]		U+4E01	U+57CE
04E01-058AD	墭		丁			[成, 盛]	[戌, 皿, 土]		U+4E01	U+58AD
04E01-05B9A	定		丁			[正, 定]	[止, 宀]		U+4E01	U+5B9A
04E01-05E81	庁		丁			[]	[广]		U+4E01	U+5E81
04E01-05F81	征		丁			[]	[止, 彳]		U+4E01	U+5F81
04E01-06014	怔		丁			[正]	[止, 心]		U+4E01	U+6014
04E01-06210	成		丁			[成]	[戌]		U+4E01	U+6210
04E01-06253	打		丁			[]	[手]		U+4E01	U+6253
04E01-0639F	掟		丁			[正, 定]	[止, 宀, 手]		U+4E01	U+639F
04E01-0653F	政		丁			[正]	[止, 攴]		U+4E01	U+653F
04E01-06574	整		丁			[正]	[止, 敕]		U+4E01	U+6574
04E01-0665F	晟		丁			[成]	[戌, 日]		U+4E01	U+665F
04E01-067FE	柾		丁			[正]	[止, 木]		U+4E01	U+67FE
04E01-06B63	正		丁			[正]	[止]		U+4E01	U+6B63
04E01-06C40	汀		丁			[]	[水]		U+4E01	U+6C40
04E01-06DC0	淀		丁			[正, 定]	[止, 宀, 水]		U+4E01	U+6DC0
04E01-06E1F	渟		丁			[亭]	[京, 水]		U+4E01	U+6E1F
04E01-0706F	灯		丁			[]	[火]		U+4E01	U+706F
04E01-0753A	町		丁			[]	[田]		U+4E01	U+753A
04E01-07594	疔		丁			[]	[疒]		U+4E01	U+7594
04E01-075C7	症		丁			[正]	[止, 疒]		U+4E01	U+75C7
04E01-076DB	盛		丁			[成, 盛]	[戌, 皿]		U+4E01	U+76DB
04E01-076EF	盯		丁			[]	[目]		U+4E01	U+76EF
04E01-077F4	矴		丁			[]	[石]		U+4E01	U+77F4
04E01-07887	碇		丁			[正, 定]	[止, 宀, 石]		U+4E01	U+7887
04E01-07DBB	綻		丁			[正, 定]	[止, 宀, 糸]		U+4E01	U+7DBB
04E01-08476	葶		丁			[亭]	[京, 艸]		U+4E01	U+8476
04E01-08A02	訂		丁			[]	[言]		U+4E01	U+8A02
04E01-08A3C	証		丁			[正]	[止, 言]		U+4E01	U+8A3C
04E01-08AA0	誠		丁			[成]	[戌, 言]		U+4E01	U+8AA0
04E01-0914A	酊		丁			[]	[酉]		U+4E01	U+914A
04E01-091D8	釘		丁			[]	[金]		U+4E01	U+91D8
04E01-09266	鉦		丁			[]	[止, 金]		U+4E01	U+9266
04E01-09320	錠		丁			[正, 定]	[止, 宀, 金]		U+4E01	U+9320
04E01-09802	頂		丁			[]	[頁]		U+4E01	U+9802
04E01-098E3	飣		丁			[]	[食]		U+4E01	U+98E3
04E03-04E03	七		七			[]	[]		U+4E03	U+4E03
04E03-05207	切		七			[]	[刀]		U+4E03	U+5207
04E03-053F1	叱		七			[]	[口]		U+4E03	U+53F1
04E03-067D2	柒		七			[]	[柒]		U+4E03	U+67D2
04E03-06C8F	沏		七			[]	[刀, 水]		U+4E03	U+6C8F
04E03-0780C	砌		七			[]	[刀, 石]		U+4E03	U+780C
04E03-09F54	齔		七			[]	[齒]		U+4E03	U+9F54
04E07-04E07	万		万			[]	[]		U+4E07	U+4E07
04E09-04E09	三		三			[]	[]		U+4E09	U+4E09
04E09-05F0E	弎		三			[]	[戌]		U+4E09	U+5F0E
04E09-06749	杉		三			[]	[木]		U+4E09	U+6749
04E0A-04E0A	上		上			[]	[]		U+4E0A	U+4E0A
04E0B-04E0B	下		下			[]	[]		U+4E0B	U+4E0B
04E0B-096EB	雫		下			[]	[雨]		U+4E0B	U+96EB
04E0F-04E0F	丏		丏			[]	[]		U+4E0F	U+4E0F
04E0F-06C94	沔		丏			[]	[水]		U+4E0F	U+6C94
04E0F-07704	眄		丏			[]	[目]		U+4E0F	U+7704
04E0F-09EAA	麪		丏			[]	[麥]		U+4E0F	U+9EAA
04E16-04E16	世		世			[]	[]		U+4E16	U+4E16
04E16-052E9	勩		世			[貰]	[貝, 力]		U+4E16	U+52E9
04E16-062B4	抴		世			[]	[手]		U+4E16	U+62B4
04E16-067BB	枻		世			[]	[木]		U+4E16	U+67BB
04E16-06CC4	泄		世			[]	[水]		U+4E16	U+6CC4
04E16-07B39	笹		世			[]	[竹]		U+4E16	U+7B39
04E16-07D32	紲		世			[]	[糸]		U+4E16	U+7D32
04E16-08CB0	貰		世			[]	[貝]		U+4E16	U+8CB0
04E16-08DC7	跇		世			[]	[足]		U+4E16	U+8DC7
04E18-04E18	丘		丘			[]	[]		U+4E18	U+4E18
04E18-086AF	蚯		丘			[]	[虫]		U+4E18	U+86AF
04E18-090B1	邱		丘			[]	[邑]		U+4E18	U+90B1
04E26-04E26	並		並			[]	[]		U+4E26	U+4E26
04E26-0666E	普		並			[]	[日]		U+4E26	U+666E
04E26-08B5C	譜		並			[]	[日, 言]		U+4E26	U+8B5C
04E28-04E28	丨		丨			[]	[]		U+4E28	U+4E28
